,Player,Mode,Team,Event,Vs Who,Date,Group / Bracket,Map ID,Series ID,Map,Result,Role,Kills,Death,K/D,Assists,Plus / Minus,CAPs,% of team's Kills,% of team's Deaths,DEFs,Coal Kills,Alleg Kills,,
,Arcitys,DOM,CHI,LW,DAL,1/24,G,#00003,#00001,Hackney,W,Flex,32,24,1.33,-,8,-,20.3%,21.8%,-,14,18,#1,
,Formal,DOM,CHI,LW,DAL,1/24,G,#00003,#00001,Hackney,W,AR,36,19,1.89,-,17,-,22.8%,17.3%,-,20,16,#2,
,Gunless,DOM,CHI,LW,DAL,1/24,G,#00003,#00001,Hackney,W,Flex,38,18,2.11,-,20,-,24.1%,16.4%,-,18,20,#3,
,Envoy,DOM,CHI,LW,DAL,1/24,G,#00003,#00001,Hackney,W,SMG,28,25,1.12,-,3,-,17.7%,22.7%,-,14,14,#4,
,Scump,DOM,CHI,LW,DAL,1/24,G,#00003,#00001,Hackney,W,SMG,24,24,1.00,-,0,-,15.2%,21.8%,-,13,11,#5,
,Crimsix,DOM,CHI,LW,DAL,1/24,G,#00003,#00001,Hackney,L,Flex,22,33,0.67,-,-11,-,20.0%,20.9%,-,10,12,#6,
,Clayster,DOM,CHI,LW,DAL,1/24,G,#00003,#00001,Hackney,L,AR,24,32,0.75,-,-8,-,21.8%,20.3%,-,8,16,#7,
,iLLey,DOM,CHI,LW,DAL,1/24,G,#00003,#00001,Hackney,L,Flex,25,31,0.81,-,-6,-,22.7%,19.6%,-,12,13,#8,
,Huke,DOM,CHI,LW,DAL,1/24,G,#00003,#00001,Hackney,L,SMG,27,28,0.96,-,-1,-,24.5%,17.7%,-,6,21,#9,
,Shotzzy,DOM,CHI,LW,DAL,1/24,G,#00003,#00001,Hackney,L,SMG,12,34,0.35,-,-22,-,10.9%,21.5%,-,5,7,#10,
,Octane,DOM,SEA,LW,FL,1/24,G,#00007,#00002,Gun Runner,W,AR,34,21,1.62,-,13,-,27.0%,20.0%,-,17,17,#11,
,Karma,DOM,SEA,LW,FL,1/24,G,#00007,#00002,Gun Runner,W,Flex,23,20,1.15,-,3,-,18.3%,19.0%,-,12,11,#12,
,Slacked,DOM,SEA,LW,FL,1/24,G,#00007,#00002,Gun Runner,W,Flex,15,19,0.79,-,-4,-,11.9%,18.1%,-,9,6,#13,
,Apathy,DOM,SEA,LW,FL,1/24,G,#00007,#00002,Gun Runner,W,SMG,27,22,1.23,-,5,-,21.4%,21.0%,-,10,17,#14,
,Enable,DOM,SEA,LW,FL,1/24,G,#00007,#00002,Gun Runner,W,SMG,27,23,1.17,-,4,-,21.4%,21.9%,-,14,13,#15,
,Maux,DOM,FL,LW,SEA,1/24,G,#00007,#00002,Gun Runner,L,AR,23,22,1.05,-,1,-,21.9%,17.5%,-,11,12,#16,
,Skyz,DOM,FL,LW,SEA,1/24,G,#00007,#00002,Gun Runner,L,Flex,22,26,0.85,-,-4,-,21.0%,20.6%,-,14,8,#17,
