,Player,Mode,Team,Event,Vs Who,Date,Group / Bracket,Map ID,Series ID,Map,Result,Role,Kills,Death,K/D,Plus / Minus,Hill Time,Assists,% of Team Kills,% of Team Deaths,Ranking,
,Arcitys,HP,CHI,LW,DAL,1/24,G,#00004,#00001,Gun Runner,W,Flex,40,23,1.74,17,-,-,26.0%,16.9%,#1,
,Arcitys,HP,CHI,LW,DAL,1/24,G,#00001,#00001,Azhir,W,Flex,32,19,1.68,13,-,-,21.9%,14.0%,#2,
,Alexx,HP,MIN,LW,LAG,1/24,G,#00013,#00003,Hackney,W,SMG,30,18,1.67,12,-,-,22.6%,18.4%,#3,
,GodRx,HP,MIN,LW,LAG,1/24,G,#00013,#00003,Hackney,W,Flex,31,20,1.55,11,-,-,23.3%,20.4%,#4,
,Assault,HP,MIN,LW,LAG,1/24,G,#00010,#00003,St Petro,L,AR,32,23,1.39,9,-,-,25.8%,19.0%,#5,
,Crimsix,HP,DAL,LW,CHI,1/24,G,#00001,#00001,Azhir,L,Flex,35,26,1.35,9,-,-,25.9%,18.2%,#6,
,Assault,HP,MIN,LW,LAG,1/24,G,#00013,#00003,Hackney,W,AR,24,17,1.41,7,-,-,18.0%,17.3%,#7,
,Lacefield,HP,LAG,LW,MIN,1/24,G,#00010,#00003,St Petro,W,Flex,29,22,1.32,7,-,-,24.0%,17.7%,#8,
,Formal,HP,CHI,LW,DAL,1/24,G,#00001,#00001,Azhir,W,AR,31,24,1.29,7,-,-,21.2%,17.6%,#9,
,Scump,HP,CHI,LW,DAL,1/24,G,#00004,#00001,Gun Runner,W,SMG,35,28,1.25,7,-,-,22.7%,20.6%,#10,
,Saints,HP,LAG,LW,MIN,1/24,G,#00010,#00003,St Petro,W,SMG,31,25,1.24,6,-,-,25.6%,20.2%,#11,
,Formal,HP,CHI,LW,DAL,1/24,G,#00004,#00001,Gun Runner,W,AR,30,25,1.20,5,-,-,19.5%,18.4%,#12,
,Asim,HP,MIN,LW,LAG,1/24,G,#00013,#00003,Hackney,W,SMG,24,20,1.20,4,-,-,18.0%,20.4%,#13,
,Gunless,HP,CHI,LW,DAL,1/24,G,#00001,#00001,Azhir,W,Flex,32,28,1.14,4,-,-,21.9%,20.6%,#14,
,AquA,HP,LAG,LW,MIN,1/24,G,#00010,#00003,St Petro,W,AR,25,22,1.14,3,-,-,20.7%,17.7%,#15,
,AquA,HP,LAG,LW,MIN,1/24,G,#00013,#00003,Hackney,L,AR,23,22,1.05,1,-,-,23.5%,16.5%,#16,
,SiLLY,HP,MIN,LW,LAG,1/24,G,#00013,#00003,Hackney,W,Flex,24,23,1.04,1,-,-,18.0%,23.5%,#17,
,Shotzzy,HP,DAL,LW,CHI,1/24,G,#00004,#00001,Gun Runner,L,SMG,29,29,1.00,0,-,-,20.9%,19.0%,#18,
,Alexx,HP,MIN,LW,LAG,1/24,G,#00010,#00003,St Petro,L,SMG,19,19,1.00,0,-,-,15.3%,15.7%,#19,
,Crimsix,HP,DAL,LW,CHI,1/24,G,#00004,#00001,Gun Runner,L,Flex,30,31,0.97,-1,-,-,21.6%,20.3%,#20,
,Huke,HP,DAL,LW,CHI,1/24,G,#00004,#00001,Gun Runner,L,SMG,27,28,0.96,-1,-,-,19.4%,18.3%,#21,
,GodRx,HP,MIN,LW,LAG,1/24,G,#00010,#00003,St Petro,L,Flex,26,28,0.93,-2,-,-,21.0%,23.1%,#22,
,SiLLY,HP,MIN,LW,LAG,1/24,G,#00010,#00003,St Petro,L,Flex,24,26,0.92,-2,-,-,19.4%,21.5%,#23,
,Asim,HP,MIN,LW,LAG,1/24,G,#00010,#00003,St Petro,L,SMG,23,25,0.92,-2,-,-,18.5%,20.7%,#24,
,Saints,HP,LAG,LW,MIN,1/24,G,#00013,#00003,Hackney,L,SMG,22,24,0.92,-2,-,-,22.4%,18.0%,#25,
,Clayster,HP,DAL,LW,CHI,1/24,G,#00001,#00001,Azhir,L,AR,27,30,0.90,-3,-,-,20.0%,21.0%,#26,
